segment_id,mape,n_samples
SEG-DUMMY-008720,10.15968203610225,1985
SEG-DUMMY-008721,8.999954367779182,1952
SEG-DUMMY-008734,655.0171388118437,1774
SEG-DUMMY-008745,31.43158191176801,78
SEG-DUMMY-008746,14.122682257988881,1947
SEG-DUMMY-008748,12.38168583503241,1684
SEG-DUMMY-008749,14.186801678870726,400
SEG-DUMMY-008750,15.96866609280288,2072
SEG-DUMMY-008751,14.60939731529835,1662
SEG-DUMMY-008828,9.040082681196937,2059
SEG-DUMMY-008829,6.758263469321799,1804
SEG-DUMMY-008866,11.449594605756443,2101
SEG-DUMMY-008870,8.181411266843186,2142
SEG-DUMMY-008872,8.724586233391484,872
SEG-DUMMY-008873,8.58874180220585,1321
SEG-DUMMY-008940,751.5850398836687,1566
SEG-DUMMY-008953,8.209300683562631,1953
SEG-DUMMY-008954,8.059649311351496,2027
SEG-DUMMY-009030,13.76381232289372,1643
SEG-DUMMY-009033,24.532317366140425,1601
SEG-DUMMY-009042,37.601999212278756,420
SEG-DUMMY-009045,12.682219435265754,2001
SEG-DUMMY-009046,11.874338544923742,1600
SEG-DUMMY-009048,9.724973604026328,1500
SEG-DUMMY-009049,6.778841255765082,1538
SEG-DUMMY-009051,20.609006394498426,1458
SEG-DUMMY-009168,6.388371166953373,2071
SEG-DUMMY-009169,12.0416856454913,2074
SEG-DUMMY-009245,15.014057296523672,1776
SEG-DUMMY-009246,15.554884019511608,2060
SEG-DUMMY-009352,12.818140852272283,1658
SEG-DUMMY-009353,11.28821090032724,1857
SEG-DUMMY-009354,18.385323585081228,105
SEG-DUMMY-009388,24.878939557780377,1694
SEG-DUMMY-009393,39.784416677862936,110
SEG-DUMMY-009396,12.925797861637697,2065
SEG-DUMMY-009398,12.045432915626348,1837
SEG-DUMMY-009409,9.004707245767271,1249
SEG-DUMMY-009417,9.641872741264335,1570
SEG-DUMMY-009419,8.184201044389646,1601
SEG-DUMMY-009420,7.735528109599392,1504
SEG-DUMMY-009421,10.923868480951496,1609
SEG-DUMMY-009422,11.335476559045661,1558
SEG-DUMMY-009423,9.943875672704038,1456
